source,destination,transmitted,received,loss_pct,event_id,rtt_n,rtt_min,rtt_median,rtt_mean,rtt_p95,rtt_max,rtt_sd
a,b,100,100,0.0,20260907T234041-499788Z-a-1992e3,100,0.655,7.08,6.77508,9.479,19.6,2.8859861913331564
a,c,100,100,0.0,20260907T234049-497655Z-a-96fd40,100,0.654,6.69,5.75733,7.560499999999999,8.22,2.24116016156766
b,a,100,100,0.0,20260907T234054-871098Z-b-40e1c8,100,0.734,7.715,7.2195,10.805,16.9,2.8806451735959455
b,c,100,100,0.0,20260907T234103-082277Z-b-e43798,100,0.649,6.765,6.23322,9.313,9.93,2.5029572956481667
c,a,100,100,0.0,20260907T234108-621319Z-c-ae514e,100,0.666,6.545,5.4684099999999995,7.324,8.07,2.3338226590594653
c,b,100,100,0.0,20260907T234116-869763Z-c-bc267b,100,0.645,7.5649999999999995,6.9737,10.12,11.9,2.6672773107656527
