source,destination,trial,start_epoch_seconds,receiver_mbps,sender_mbps,receiver_bytes,receiver_seconds,retransmits
b,a,1,1788824484,48.75252970953899,50.115092089929725,61079552,10.022791,0
b,a,2,1788824495,33.32576252705947,35.43704227484216,41811968,10.037152,12
b,a,3,1788824509,36.01474496247064,38.687289646832156,45088768,10.015624,2
c,a,1,1788824523,36.01868285567898,37.84848405465262,45088768,10.014529,0
c,a,2,1788824536,33.53142236308898,36.69518046401103,42205184,10.069405,5
c,a,3,1788824550,32.2608511217548,34.38864689380465,40763392,10.108448,1
b,c,1,1788824565,20.5219387675627,21.2832046691264,25690112,10.014692,20
b,c,2,1788824580,25.946942474217877,28.62236095953382,32505856,10.022254,1
b,c,3,1788824594,30.454817302904427,32.60629218677947,38141952,10.019289,0
